['2018-07-13 18:42:51.608317', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 18:53:00.476031', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 19:03:32.219688', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 19:13:42.613919', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 19:23:37.815141', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 19:33:49.073661', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 19:49:13.533046', {'R': [39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 84, 85, 86, 87], 'U': []}]
['2018-07-13 19:59:28.572207', {'R': [39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 84, 85, 86, 87], 'U': []}]
['2018-07-13 20:09:28.445429', {'R': [39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 84, 85, 86, 87], 'U': []}]
['2018-07-13 20:20:07.635582', {'R': [39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 84, 85, 86, 87], 'U': []}]
['2018-07-13 20:31:15.986101', {'R': [39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 84, 85, 86, 87], 'U': []}]
['2018-07-13 20:41:12.991098', {'R': [39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 84, 85, 86, 87], 'U': []}]
['2018-07-13 20:50:54.641101', {'R': [39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 84, 85, 86, 87], 'U': []}]
['2018-07-13 21:04:34.282736', {'R': [39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 84, 85, 86, 87], 'U': []}]
['2018-07-13 21:18:43.074754', {'R': [39, 40, 41, 42, 43, 46, 47, 48, 49, 50, 84, 85, 86, 87], 'U': []}]
